TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/08/26
TIME	10:49:06
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	394.0000
NPOINTS	789
FIRSTY	349.59897
MAXY	708.69684
MINY	-86.29885
XYDATA
0.0000	349.599
0.5000	349.639
1.0000	349.59
1.5000	349.499
2.0000	349.472
2.5000	349.484
3.0000	349.434
3.5000	349.408
4.0000	349.33
4.5000	349.279
5.0000	349.275
5.5000	349.242
6.0000	349.209
6.5000	349.128
7.0000	349.093
7.5000	349.064
8.0000	349.088
8.5000	349.086
9.0000	349.034
9.5000	348.956
10.0000	348.895
10.5000	348.851
11.0000	348.838
11.5000	348.836
12.0000	348.759
12.5000	348.736
13.0000	348.665
13.5000	348.598
14.0000	348.565
14.5000	348.401
15.0000	348.272
15.5000	348.21
16.0000	348.129
16.5000	348.136
17.0000	348.199
17.5000	348.129
18.0000	348.101
18.5000	348.056
19.0000	347.939
19.5000	347.914
20.0000	347.92
20.5000	347.869
21.0000	342.125
21.5000	329.942
22.0000	306.89
22.5000	217.403
23.0000	-86.2989
23.5000	-42.7547
24.0000	-34.3194
24.5000	-31.8789
25.0000	-30.5454
25.5000	-29.6139
26.0000	-28.9143
26.5000	-28.4324
27.0000	-28.0245
27.5000	-27.9673
28.0000	-27.7477
28.5000	-27.5011
29.0000	-27.3489
29.5000	-27.2524
30.0000	-27.2009
30.5000	-26.9382
31.0000	-26.8298
31.5000	99.7824
32.0000	449.615
32.5000	435.854
33.0000	431.343
33.5000	423.233
34.0000	400.814
34.5000	402.067
35.0000	403.345
35.5000	404.795
36.0000	406.251
36.5000	407.761
37.0000	409.251
37.5000	410.752
38.0000	412.282
38.5000	413.757
39.0000	415.33
39.5000	416.843
40.0000	418.363
40.5000	419.902
41.0000	421.387
41.5000	422.813
42.0000	424.262
42.5000	425.7
43.0000	427.178
43.5000	428.668
44.0000	430.052
44.5000	431.521
45.0000	432.873
45.5000	434.271
46.0000	435.701
46.5000	437.052
47.0000	438.364
47.5000	439.802
48.0000	441.21
48.5000	442.579
49.0000	443.988
49.5000	445.206
50.0000	446.468
50.5000	447.774
51.0000	449.023
51.5000	450.289
52.0000	451.533
52.5000	452.712
53.0000	453.945
53.5000	455.161
54.0000	456.36
54.5000	457.626
55.0000	458.86
55.5000	460.122
56.0000	461.451
56.5000	462.7
57.0000	464.086
57.5000	465.39
58.0000	466.668
58.5000	467.988
59.0000	469.268
59.5000	470.627
60.0000	471.856
60.5000	473.084
61.0000	474.372
61.5000	475.576
62.0000	476.854
62.5000	478.111
63.0000	479.237
63.5000	480.439
64.0000	481.524
64.5000	482.628
65.0000	483.709
65.5000	484.732
66.0000	485.834
66.5000	486.898
67.0000	487.951
67.5000	489.027
68.0000	490.063
68.5000	491.002
69.0000	492.02
69.5000	493.017
70.0000	494.153
70.5000	495.233
71.0000	496.326
71.5000	497.305
72.0000	498.235
72.5000	499.35
73.0000	500.334
73.5000	501.498
74.0000	502.544
74.5000	503.567
75.0000	504.638
75.5000	505.591
76.0000	506.659
76.5000	507.789
77.0000	508.809
77.5000	509.938
78.0000	511.065
78.5000	512.132
79.0000	513.246
79.5000	514.386
80.0000	515.437
80.5000	516.536
81.0000	517.628
81.5000	518.684
82.0000	519.838
82.5000	520.951
83.0000	522.058
83.5000	523.099
84.0000	524.132
84.5000	525.153
85.0000	526.258
85.5000	527.379
86.0000	528.512
86.5000	529.669
87.0000	530.786
87.5000	532.038
88.0000	533.141
88.5000	534.244
89.0000	535.431
89.5000	536.431
90.0000	537.526
90.5000	538.701
91.0000	539.852
91.5000	541.047
92.0000	542.212
92.5000	543.396
93.0000	544.497
93.5000	545.591
94.0000	546.697
94.5000	547.764
95.0000	548.816
95.5000	549.856
96.0000	550.963
96.5000	551.963
97.0000	553.028
97.5000	554.131
98.0000	555.106
98.5000	556.122
99.0000	557.054
99.5000	557.932
100.0000	558.894
100.5000	559.843
101.0000	560.74
101.5000	561.813
102.0000	562.872
102.5000	563.92
103.0000	565.028
