TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/08/26
TIME	11:14:15
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	305.5000
NPOINTS	612
FIRSTY	727.12549
MAXY	727.12549
MINY	-64.38096
XYDATA
0.0000	727.125
0.5000	727.058
1.0000	727.083
1.5000	726.911
2.0000	726.916
2.5000	726.896
3.0000	726.813
3.5000	726.734
4.0000	726.674
4.5000	726.554
5.0000	726.462
5.5000	726.47
6.0000	726.267
6.5000	726.089
7.0000	725.916
7.5000	725.808
8.0000	725.823
8.5000	725.815
9.0000	725.862
9.5000	725.688
10.0000	725.453
10.5000	725.357
11.0000	725.249
11.5000	725.129
12.0000	725.276
12.5000	725.26
13.0000	725.164
13.5000	725.103
14.0000	724.916
14.5000	724.674
15.0000	724.696
15.5000	724.665
16.0000	724.56
16.5000	724.577
17.0000	724.305
17.5000	724.293
18.0000	724.281
18.5000	724.184
19.0000	724.177
19.5000	724.039
20.0000	723.97
20.5000	723.956
21.0000	722.934
21.5000	708.322
22.0000	681.898
22.5000	610.413
23.0000	-64.381
23.5000	-53.9483
24.0000	-36.8648
24.5000	-32.6885
25.0000	-31.1156
25.5000	-29.944
26.0000	-29.2434
26.5000	-28.7794
27.0000	-28.2893
27.5000	-28.1172
28.0000	-27.8317
28.5000	-27.6171
29.0000	-27.4104
29.5000	407.731
30.0000	482.908
30.5000	484.489
31.0000	485.543
31.5000	470.203
32.0000	465.414
32.5000	468.111
33.0000	471.289
33.5000	474.556
34.0000	477.769
34.5000	480.964
35.0000	484.177
35.5000	487.408
36.0000	490.66
36.5000	493.995
37.0000	497.336
37.5000	500.596
38.0000	503.889
38.5000	507.012
39.0000	510.1
39.5000	513.22
40.0000	516.265
40.5000	519.317
41.0000	522.219
41.5000	525.068
42.0000	527.902
42.5000	530.649
43.0000	533.363
43.5000	536.071
44.0000	538.684
44.5000	541.289
45.0000	543.964
45.5000	546.49
46.0000	548.97
46.5000	551.381
47.0000	553.695
47.5000	556.004
48.0000	558.271
48.5000	560.51
49.0000	562.795
49.5000	565.032
50.0000	567.242
50.5000	569.375
51.0000	571.41
51.5000	573.485
52.0000	575.537
52.5000	577.569
53.0000	579.532
53.5000	581.374
54.0000	583.195
54.5000	585.122
55.0000	586.984
55.5000	588.887
56.0000	590.704
56.5000	592.402
57.0000	594.029
57.5000	595.695
58.0000	597.404
58.5000	599.134
59.0000	600.856
59.5000	602.491
60.0000	604.014
60.5000	605.575
61.0000	607.168
61.5000	608.625
62.0000	610.165
62.5000	611.642
63.0000	613.078
63.5000	614.589
64.0000	615.982
64.5000	617.303
65.0000	618.82
65.5000	620.201
66.0000	621.516
66.5000	622.886
67.0000	623.991
67.5000	625.247
68.0000	626.508
68.5000	627.763
69.0000	629.057
69.5000	630.308
70.0000	631.584
70.5000	632.667
71.0000	633.843
71.5000	635.053
72.0000	636.156
72.5000	637.313
73.0000	638.52
73.5000	639.588
74.0000	640.701
74.5000	641.838
75.0000	642.753
75.5000	643.769
76.0000	644.795
76.5000	645.899
77.0000	647.117
77.5000	648.215
78.0000	649.28
78.5000	650.278
79.0000	651.203
79.5000	651.98
80.0000	652.943
80.5000	653.77
81.0000	654.667
81.5000	655.654
82.0000	656.542
82.5000	657.425
83.0000	658.228
83.5000	659.135
84.0000	660.079
84.5000	660.985
85.0000	661.85
85.5000	662.662
86.0000	663.373
86.5000	664.197
87.0000	665.009
87.5000	665.791
88.0000	666.631
88.5000	667.414
89.0000	668.08
89.5000	668.963
90.0000	669.748
90.5000	670.473
91.0000	671.383
91.5000	672.024
92.0000	672.594
92.5000	673.348
93.0000	674.092
93.5000	674.772
94.0000	675.465
94.5000	676.106
95.0000	676.706
95.5000	677.441
96.0000	678.279
96.5000	679.007
97.0000	679.62
97.5000	680.193
98.0000	680.863
98.5000	681.419
99.0000	682.021
99.5000	682.654
100.0000	683.131
100.5000	683.758
101.0000	684.315
101.5000	684.849
102.0000	685.42
102.5000	685.971
103.0000	686.541
103.5000	687.07
104.0000	687.57
