TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/08/26
TIME	11:23:34
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	296.0000
NPOINTS	593
FIRSTY	722.46283
MAXY	724.10156
MINY	-75.28665
XYDATA
0.0000	722.463
0.5000	722.471
1.0000	722.374
1.5000	722.171
2.0000	722.106
2.5000	722.066
3.0000	722.106
3.5000	722.141
4.0000	722.13
4.5000	722.187
5.0000	722.121
5.5000	722.093
6.0000	722.046
6.5000	722.013
7.0000	722.06
7.5000	722.073
8.0000	722.119
8.5000	722.044
9.0000	721.89
9.5000	721.916
10.0000	721.807
10.5000	721.856
11.0000	721.836
11.5000	721.701
12.0000	721.76
12.5000	721.673
13.0000	721.682
13.5000	721.703
14.0000	713.549
14.5000	693.313
15.0000	649.697
15.5000	445.671
16.0000	-75.2867
16.5000	-40.9996
17.0000	-33.9787
17.5000	-31.6407
18.0000	-30.3239
18.5000	-29.5849
19.0000	-29.0523
19.5000	-28.5508
20.0000	-28.2603
20.5000	-27.6712
21.0000	-27.4874
21.5000	-27.5406
22.0000	-27.3229
22.5000	-27.3658
23.0000	2.96189
23.5000	478.003
24.0000	465.833
24.5000	464.246
25.0000	462.749
25.5000	438.158
26.0000	442.222
26.5000	445.256
27.0000	448.302
27.5000	451.455
28.0000	454.591
28.5000	457.79
29.0000	460.93
29.5000	464.045
30.0000	467.12
30.5000	470.097
31.0000	473.163
31.5000	476.134
32.0000	479.027
32.5000	481.964
33.0000	484.806
33.5000	487.638
34.0000	490.446
34.5000	493.188
35.0000	495.864
35.5000	498.44
36.0000	501.023
36.5000	503.607
37.0000	506.172
37.5000	508.705
38.0000	511.238
38.5000	513.655
39.0000	516.05
39.5000	518.382
40.0000	520.683
40.5000	523.092
41.0000	525.448
41.5000	527.813
42.0000	530.187
42.5000	532.386
43.0000	534.506
43.5000	536.68
44.0000	538.69
44.5000	540.773
45.0000	542.898
45.5000	544.852
46.0000	546.848
46.5000	548.885
47.0000	550.851
47.5000	552.869
48.0000	554.814
48.5000	556.702
49.0000	558.592
49.5000	560.47
50.0000	562.342
50.5000	564.187
51.0000	565.942
51.5000	567.757
52.0000	569.516
52.5000	571.231
53.0000	572.969
53.5000	574.642
54.0000	576.395
54.5000	578.059
55.0000	579.787
55.5000	581.423
56.0000	583.04
56.5000	584.701
57.0000	586.265
57.5000	587.895
58.0000	589.5
58.5000	591.009
59.0000	592.529
59.5000	593.977
60.0000	595.495
60.5000	597.013
61.0000	598.607
61.5000	600.125
62.0000	601.605
62.5000	602.951
63.0000	604.222
63.5000	605.608
64.0000	606.949
64.5000	608.434
65.0000	609.828
65.5000	611.221
66.0000	612.445
66.5000	613.721
67.0000	615.06
67.5000	616.276
68.0000	617.705
68.5000	618.964
69.0000	620.225
69.5000	621.479
70.0000	622.585
70.5000	623.891
71.0000	625.054
71.5000	626.233
72.0000	627.445
72.5000	628.54
73.0000	629.658
73.5000	630.825
74.0000	631.88
74.5000	632.922
75.0000	634.053
75.5000	635.091
76.0000	636.183
76.5000	637.266
77.0000	638.276
77.5000	639.279
78.0000	640.356
78.5000	641.345
79.0000	642.292
79.5000	643.261
80.0000	644.159
80.5000	645.035
81.0000	646.009
81.5000	646.972
82.0000	647.911
82.5000	648.958
83.0000	649.859
83.5000	650.788
84.0000	651.763
84.5000	652.622
85.0000	653.531
85.5000	654.427
86.0000	655.312
86.5000	656.141
87.0000	656.974
87.5000	657.831
88.0000	658.644
88.5000	659.526
89.0000	660.467
89.5000	661.195
90.0000	661.884
90.5000	662.711
91.0000	663.392
91.5000	664.323
92.0000	665.18
92.5000	665.926
93.0000	666.645
93.5000	667.354
94.0000	668.032
94.5000	668.866
95.0000	669.798
95.5000	670.465
96.0000	671.168
96.5000	671.78
97.0000	672.49
97.5000	673.213
98.0000	673.907
98.5000	674.512
99.0000	675.147
99.5000	675.739
100.0000	676.463
100.5000	677.118
101.0000	677.647
101.5000	678.374
102.0000	679.044
102.5000	679.702
103.0000	680.299
103.5000	680.866
