TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/08/24
TIME	16:21:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	1733.5000
NPOINTS	3468
FIRSTY	364.38208
MAXY	531.36517
MINY	-47.63149
XYDATA
0.0000	364.382
0.5000	364.303
1.0000	364.198
1.5000	364.143
2.0000	364.071
2.5000	364.155
3.0000	364.201
3.5000	364.164
4.0000	364.181
4.5000	364.146
5.0000	364.055
5.5000	364.004
6.0000	363.94
6.5000	363.962
7.0000	363.957
7.5000	364.01
8.0000	364.083
8.5000	364.033
9.0000	364.047
9.5000	363.977
10.0000	363.893
10.5000	363.835
11.0000	363.765
11.5000	363.787
12.0000	363.815
12.5000	363.836
13.0000	363.806
13.5000	363.768
14.0000	363.727
14.5000	363.689
15.0000	363.676
15.5000	363.664
16.0000	363.663
16.5000	363.647
17.0000	363.653
17.5000	363.581
18.0000	363.503
18.5000	363.464
19.0000	363.421
19.5000	363.392
20.0000	363.406
20.5000	363.38
21.0000	363.409
21.5000	363.429
22.0000	363.428
22.5000	363.445
23.0000	363.395
23.5000	363.428
24.0000	363.425
24.5000	363.378
25.0000	363.416
25.5000	363.398
26.0000	363.405
26.5000	363.379
27.0000	363.28
27.5000	363.182
28.0000	363.139
28.5000	363.1
29.0000	363.13
29.5000	363.179
30.0000	363.097
30.5000	363.112
31.0000	363.093
31.5000	363.086
32.0000	363.102
32.5000	363.043
33.0000	363.006
33.5000	362.924
34.0000	362.937
34.5000	362.933
35.0000	362.937
35.5000	362.918
36.0000	362.871
36.5000	362.868
37.0000	362.844
37.5000	362.835
38.0000	362.788
38.5000	362.836
39.0000	355.063
39.5000	342.043
40.0000	308.768
40.5000	-21.1557
41.0000	-47.6315
41.5000	-35.0311
42.0000	-32.0923
42.5000	-30.8725
43.0000	-30.191
43.5000	-29.7186
44.0000	-29.3069
44.5000	-29.0236
45.0000	-29.0086
45.5000	-28.854
46.0000	-28.6548
46.5000	-26.8656
47.0000	297.989
47.5000	293.823
48.0000	292.895
48.5000	292.397
49.0000	276.332
49.5000	276.731
50.0000	276.927
50.5000	277.208
51.0000	277.547
51.5000	277.846
52.0000	278.192
52.5000	278.557
53.0000	278.893
53.5000	279.334
54.0000	279.741
54.5000	280.098
55.0000	280.557
55.5000	280.943
56.0000	281.357
56.5000	281.782
57.0000	282.152
57.5000	282.52
58.0000	282.918
58.5000	283.278
59.0000	283.655
59.5000	284.091
60.0000	284.462
60.5000	284.925
61.0000	285.35
61.5000	285.733
62.0000	286.139
62.5000	286.505
63.0000	286.904
63.5000	287.291
64.0000	287.72
64.5000	288.064
65.0000	288.401
65.5000	288.807
66.0000	289.184
66.5000	289.605
67.0000	290.028
67.5000	290.449
68.0000	290.84
68.5000	291.258
69.0000	291.668
69.5000	292.009
70.0000	292.374
70.5000	292.779
71.0000	293.189
71.5000	293.584
72.0000	293.972
72.5000	294.336
73.0000	294.702
73.5000	295.126
74.0000	295.551
74.5000	295.964
75.0000	296.317
75.5000	296.629
76.0000	297.004
76.5000	297.372
77.0000	297.765
77.5000	298.161
78.0000	298.518
78.5000	298.901
79.0000	299.305
79.5000	299.711
80.0000	300.153
80.5000	300.517
81.0000	300.868
81.5000	301.283
82.0000	301.662
82.5000	302.081
83.0000	302.506
83.5000	302.882
84.0000	303.266
84.5000	303.616
85.0000	303.973
85.5000	304.322
86.0000	304.661
86.5000	305.026
87.0000	305.4
87.5000	305.778
88.0000	306.132
88.5000	306.558
89.0000	306.926
89.5000	307.282
90.0000	307.675
90.5000	308.043
91.0000	308.433
91.5000	308.826
92.0000	309.209
92.5000	309.542
93.0000	309.898
93.5000	310.229
94.0000	310.562
94.5000	310.938
95.0000	311.257
95.5000	311.641
96.0000	312.006
96.5000	312.346
97.0000	312.774
97.5000	313.165
98.0000	313.495
98.5000	313.855
99.0000	314.185
99.5000	314.469
100.0000	314.842
100.5000	315.202
101.0000	315.596
101.5000	316.024
102.0000	316.404
102.5000	316.787
103.0000	317.111
103.5000	317.448
