TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/10/29
TIME	14:29:10
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	901.0000
NPOINTS	902
FIRSTY	383.70972
MAXY	437.73495
MINY	-239.85535
XYDATA
0.0000	383.71
1.0000	381.099
2.0000	381.174
3.0000	381.668
4.0000	382.539
5.0000	383.933
6.0000	380.875
7.0000	384.537
8.0000	384.16
9.0000	378.464
10.0000	380.641
11.0000	381.265
12.0000	380.937
13.0000	382.214
14.0000	380.652
15.0000	376.496
16.0000	379.496
17.0000	384.919
18.0000	384.725
19.0000	381.016
20.0000	380.388
21.0000	382.295
22.0000	381.796
23.0000	382.419
24.0000	381.974
25.0000	381.491
26.0000	379.659
27.0000	379.185
28.0000	384.433
29.0000	383.599
30.0000	382.572
31.0000	387.392
32.0000	386.374
33.0000	384.931
34.0000	383.013
35.0000	381.554
36.0000	382.849
37.0000	384.596
38.0000	383.879
39.0000	385.414
40.0000	386.582
41.0000	382.773
42.0000	382.639
43.0000	382.6
44.0000	380.281
45.0000	382.124
46.0000	382.248
47.0000	380.148
48.0000	380.96
49.0000	379.213
50.0000	375.392
51.0000	377.643
52.0000	381.204
53.0000	381.204
54.0000	383.24
55.0000	381.554
56.0000	376.916
57.0000	380.112
58.0000	382.789
59.0000	380.797
60.0000	379.792
61.0000	381.057
62.0000	340.665
63.0000	-181.094
64.0000	-239.855
65.0000	-210.557
66.0000	254.438
67.0000	245.88
68.0000	213.557
69.0000	209.083
70.0000	212.271
71.0000	213.437
72.0000	217.3
73.0000	220.942
74.0000	224.112
75.0000	228.593
76.0000	233.421
77.0000	234.583
78.0000	237.058
79.0000	240.915
80.0000	245.066
81.0000	247.126
82.0000	246.567
83.0000	250.831
84.0000	256.646
85.0000	256.617
86.0000	258.811
87.0000	264.346
88.0000	266.245
89.0000	269.629
90.0000	273.516
91.0000	276.014
92.0000	279.108
93.0000	280.614
94.0000	279.571
95.0000	282.293
96.0000	285.524
97.0000	287.851
98.0000	291.233
99.0000	289.496
100.0000	293.413
101.0000	300.536
102.0000	300.706
103.0000	303.71
104.0000	303.499
105.0000	301.959
106.0000	308.275
107.0000	312.649
108.0000	313.861
109.0000	315.237
110.0000	316.657
111.0000	318.132
112.0000	318.705
113.0000	323.479
114.0000	326.106
115.0000	325.913
116.0000	327.106
117.0000	328.702
118.0000	334.45
119.0000	334.978
120.0000	332.397
121.0000	334.043
122.0000	337.248
123.0000	342.207
124.0000	342.135
125.0000	339.853
126.0000	340.082
127.0000	343.059
128.0000	345.013
129.0000	342.735
130.0000	346.123
131.0000	351.701
132.0000	351.53
133.0000	351.854
134.0000	353.329
135.0000	355.487
136.0000	360.032
137.0000	359.62
138.0000	359.582
139.0000	361.915
140.0000	363.303
141.0000	366.16
142.0000	368.492
143.0000	370.251
144.0000	368.667
145.0000	369.869
146.0000	372.367
147.0000	371.886
148.0000	371.62
149.0000	372.768
150.0000	376.451
151.0000	377.055
152.0000	377.471
153.0000	377.135
154.0000	376.009
155.0000	378.256
156.0000	378.232
157.0000	379.447
158.0000	379.378
159.0000	379.371
160.0000	381.73
161.0000	380.936
162.0000	382.304
163.0000	387.532
164.0000	387.777
165.0000	385.013
166.0000	384.511
167.0000	381.847
168.0000	383.618
169.0000	386.901
170.0000	390.016
171.0000	392.03
172.0000	390.182
173.0000	389.968
174.0000	389.998
175.0000	390.747
176.0000	391.007
177.0000	394.111
178.0000	394.434
179.0000	392.672
180.0000	398.179
181.0000	399.184
182.0000	399.712
183.0000	399.564
184.0000	396.781
185.0000	397.419
186.0000	398.392
187.0000	402.803
188.0000	405.204
189.0000	401.125
190.0000	400.477
191.0000	401.629
192.0000	399.473
193.0000	400.153
194.0000	399.779
195.0000	403.235
196.0000	405.071
197.0000	400.947
198.0000	404.841
199.0000	406.954
200.0000	405.742
201.0000	410.785
202.0000	410.242
203.0000	408.512
204.0000	407.582
205.0000	406.502
206.0000	408.483
207.0000	406.705
208.0000	409.058
209.0000	409.41
210.0000	407.941
